"Date and Time","temp1","temp2"
"09/17/2023 06:54:21 pm","21.4","30"
"09/17/2023 06:54:16 pm","","29.9"
"09/17/2023 06:54:16 pm","21.4",""
"09/17/2023 06:54:01 pm","","29.9"
"09/17/2023 06:54:01 pm","21.5",""
"09/17/2023 06:53:53 pm","","29.9"
"09/17/2023 06:53:53 pm","21.5",""
"09/17/2023 06:53:46 pm","21.4","29.9"
"09/17/2023 06:53:31 pm","21.3","29.9"
"09/17/2023 06:53:23 pm","21.3","29.9"
"09/17/2023 06:53:16 pm","","29.9"
"09/17/2023 06:53:16 pm","21.3",""
"09/17/2023 06:53:01 pm","21.3","29.8"
"09/17/2023 06:52:54 pm","","29.9"
"09/17/2023 06:52:54 pm","21.3",""
"09/17/2023 06:52:48 pm","21.4","29.9"
"09/17/2023 06:52:35 pm","","29.9"
"09/17/2023 06:52:35 pm","21",""
"09/17/2023 06:52:29 pm","","29.9"
"09/17/2023 06:52:29 pm","21.4",""
"09/17/2023 06:52:23 pm","21.4","29.9"
"09/17/2023 06:52:11 pm","","29.9"
"09/17/2023 06:52:11 pm","21.4",""
"09/17/2023 06:51:52 pm","","29.7"
"09/17/2023 06:51:52 pm","21.4",""
"09/17/2023 05:44:20 pm","23.4","35.7"
"09/17/2023 05:44:10 pm","","35.8"
"09/17/2023 05:44:10 pm","23.5",""
"09/17/2023 05:44:00 pm","","35.9"
"09/17/2023 05:44:00 pm","23.5",""
"09/17/2023 05:43:50 pm","23.6","35.9"
"09/17/2023 05:43:40 pm","23.7","35.9"
"09/17/2023 05:43:29 pm","23.7","36"
"09/17/2023 05:43:19 pm","23.6","36"
"09/17/2023 05:43:09 pm","","36"
"09/17/2023 05:43:09 pm","23.6",""
"09/17/2023 05:42:59 pm","23.6","36"
"09/17/2023 05:42:49 pm","23.6","35.9"
"09/17/2023 05:42:39 pm","","36"
"09/17/2023 05:42:39 pm","23.6",""
"09/17/2023 05:42:29 pm","","36"
"09/17/2023 05:42:29 pm","23.6",""
"09/17/2023 05:42:19 pm","","36.1"
"09/17/2023 05:42:19 pm","23.5",""
"09/17/2023 05:42:09 pm","23.6","36.3"
"09/17/2023 05:41:59 pm","","36.3"
"09/17/2023 05:41:59 pm","23.6",""
"09/17/2023 05:41:49 pm","23.7","36.2"
"09/17/2023 05:41:39 pm","","36.2"
"09/17/2023 05:41:39 pm","23.5",""
"09/17/2023 05:41:29 pm","23.4","36.2"
"09/17/2023 05:41:19 pm","23.4","36.2"
"09/17/2023 05:41:09 pm","23.4","36.1"
"09/17/2023 05:40:59 pm","23.4","36.1"
"09/17/2023 05:40:48 pm","","36.1"
"09/17/2023 05:40:48 pm","23.4",""
"09/17/2023 05:40:38 pm","","36"
"09/17/2023 05:40:38 pm","23.4",""
"09/17/2023 05:40:28 pm","23.3","36.1"
"09/17/2023 05:40:18 pm","","36.2"
